source,target
C00006925,PTPN22
C00006925,EPAS1
C00006925,UBE2I
C00006925,PTPN1
C00006925,RAPGEF3
C00006925,STAT1
C00006925,EIF2AK3
C00006925,GCK
C00006925,OXTR
C00006925,PRKACB
C00006925,MMP9
C00006925,GAPDH
C00006925,ALPL
C00006925,GPR35
C00006925,IL1B
C00006925,AVPR1A
C00006925,PABPC1
C00006925,PPARG
C00006925,NCOA2
C00006925,GNAI1
C00006925,RAPGEF4
C00006925,SENP6
C00006925,TP53
C00006925,GCKR
C00006925,MTOR
C00006925,MAPK1
C00006925,MAP3K3
C00006925,NCOA1
C00006925,NFKB1
C00006925,HDAC3
C00006925,JUN
C00006925,AKT1
C00006925,SENP1
C00006925,APOA2
C00006925,SREBF2
C00002526,LCK
C00002526,APP
C00002526,NRP1
C00002526,GLP1R
C00002526,GNAS
C00002526,ATF6
C00002526,NR3C1
C00002526,UBA2
C00002526,PADI4
C00002526,TOP2B
C00002526,CTNNB1
C00002526,PTPN22
C00002526,FLT1
C00002526,TNF
C00002526,MAPK14
C00002526,PRKCA
C00002526,EPAS1
C00002526,UBE2I
C00002526,EGFR
C00002526,CCR5
C00002526,RAPGEF3
C00002526,GCK
C00002526,ADRA2A
C00002526,MAOA
C00002526,FYN
C00002526,CALCR
C00002526,OXTR
C00002526,PRKACB
C00002526,MMP9
C00002526,PON1
C00002526,GAPDH
C00002526,PPARA
C00002526,GPR35
C00002526,IL1B
C00002526,AVPR1A
C00002526,PABPC1
C00002526,PPARG
C00002526,NCOA2
C00002526,BDKRB2
C00002526,GNAI1
C00002526,RAPGEF4
C00002526,SENP6
C00002526,TP53
C00002526,GCKR
C00002526,MTOR
C00002526,MAPK1
C00002526,MAP3K3
C00002526,NCOA1
C00002526,NFKB1
C00002526,HDAC3
C00002526,JUN
C00002526,TOP2A
C00002526,AKT1
C00002526,APOA2
C00002526,SREBF2
C00002526,SENP1
C00006922,PTPN1
C00006922,TOP2A
C00006922,PPARG
C00006922,SENP1
C00006922,SENP6
C00006922,UBE2I
C00006922,APOA2
C00006922,SREBF2
C00003663,APP
C00003663,LCK
C00003663,NRP1
C00003663,JAK2
C00003663,GLP1R
C00003663,GNAS
C00003663,ATF6
C00003663,HSPA8
C00003663,NR3C1
C00003663,UBA2
C00003663,PRKACA
C00003663,PADI4
C00003663,PTPN22
C00003663,FLT1
C00003663,MAPK14
C00003663,PRKCA
C00003663,EPAS1
C00003663,UBE2I
C00003663,EGFR
C00003663,CCR5
C00003663,RAPGEF3
C00003663,STAT1
C00003663,EIF2AK3
C00003663,GCK
